,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
5149,Muñecas de trapo oaxaqueñas,Crafts,Apr 25 2020,May 8 2020,12,"Veracruz, Mexico",MX$,11118,6000,7
5150,Next Chapter Leather Notebook Covers,Crafts,Jan 2 2019,Feb 1 2019,30,"Rigby, ID",$,3790,500,60
5151,Alan C.K. & Co. - Handmade cutting boards.,Woodworking,Jun 7 2015,Jul 6 2015,29,"New York, NY",$,3003,3000,29
5152,INSTAPRINT- D.I.Y PRINTABLE DIORAMAS -ACBA COMMUNITY PROJECT,Crafts,Aug 22 2018,Sep 29 2018,38,"Edinburgh, UK",£,1565,1000,153
5153,Phoenix Wellness Center,Crafts,Oct 12 2018,Nov 2 2018,21,"Atlanta, GA",$,6204,5000,70
5154,'It's beginning to look a lot like Knitmas' knitting book,Knitting,Aug 16 2015,Sep 12 2015,27,"London, UK",£,886,750,19
5155,Handcrafted Domestic Wood Pens,Woodworking,Nov 1 2018,Nov 15 2018,14,"Toronto, Canada",CA$,1426,500,16
5156,Chutes_alors créations textile.,Crafts,Jan 20 2020,Mar 5 2020,45,"France, France",€,504,500,19
5157,"David Walsh, Bowlmaker: Fine Wooden Bowls - Holidays 2017",Woodworking,Nov 18 2017,Nov 29 2017,11,"York, PA",$,3751,250,33
5158,-Concretix- Concrete plant pots for every home,Crafts,Jul 1 2018,Jul 26 2018,25,"Barcelona, Spain",€,660,500,21
5159,Legend of Zelda Meets Traditional Japanese Pottery,Pottery,Feb 14 2014,Mar 16 2014,30,"Saijo, Japan",$,1649,1500,45
5160,Little Literary Classics Cloth Books,Crafts,May 9 2013,May 30 2013,21,"Phoenix, AZ",$,1794,400,41
5161,Make 100 - Needle Felted Birds by Feltmeupdesigns,Crafts,Jan 19 2018,Feb 11 2018,23,"Scarborough, UK",£,4193,300,149
5162,Wood (Turned) [beautifully],Woodworking,Sep 18 2014,Oct 17 2014,29,"Kittery, ME",$,7433,5555,48
5163,Bag of Hope,Printing,May 25 2016,Jun 24 2016,30,"Aarhus Central, Denmark",DKK,2250,2000,20
5164,Classy Greeting Cards,Printing,Apr 12 2017,May 2 2017,20,"Yakima, WA",$,1125,1000,26
5165,Print-Products / Handgemachte Papierprodukte (Illustrations),Printing,Apr 16 2016,May 15 2016,29,"Basel, Switzerland",CHF,3351,3300,33
5166,"Free Dandelions for BRATS, AF, ARMY, MARINE, NAVY, CG",Printing,Apr 2 2015,May 2 2015,30,"Wichita Falls, TX",$,806,750,36
5167,Cute Stickers: Make This New Season Sticker Special!,Stationery,Aug 5 2016,Sep 4 2016,30,"Sydney, AU",AU$,262,200,9
5168,Cat Theme Greeting Cards,Printing,Jun 19 2018,Jun 29 2018,10,"Vienna, VA",$.,8100,50,8
5169,Greeting Cards & Pen Pals - Projects of Earth,Stationery,Aug 26 2017,Sep 23 2017,28,"Omaha, NE",$,758,750,19
5170,Fine Pens from Rare Woods,Crafts,Sep 16 2013,Oct 16 2013,30,"Mooresboro, NC",$,13359,500,195
5171,"Pens made from wood of used Whiskey Barrels (Jack,Jim,MM)",Crafts,Apr 30 2013,May 30 2013,30,"Kettering, OH",$,11529,500,162
5172,Happy Moon: moon enamel pin,Crafts,Jul 12 2018,Aug 11 2018,30,"Cornelius, NC",$,640,600,25
5173,Walking spider espresso set,Pottery,Jul 9 2019,Aug 1 2019,22,"S. Luis Potosi, Mexico",MX$,32018,31800,25
5174,"Kokor, joyas vítreas contemporáneas.",Glass,Nov 21 2019,Jan 20 2020,60,"Monterrey, Mexico",MX$,56578,55000,47
5175,Hobbit House - The Newest Eco Dream,Woodworking,Apr 26 2016,May 26 2016,30,"Odder, Denmark",DKK,32155,30000,24
5176,Karteko au salon Maison & Objet,Crafts,Oct 15 2019,Nov 17 2019,32,"Villepinte, France",€,3532,3500,79
5177,Frisenvang’s sustainable handspun alpaca yarn - New colors,Knitting,Nov 28 2016,Dec 28 2016,30,"Copenhagen, Denmark",DKK,24033,14500,121
5178,Spotty Zebra Natural Soaps and Skincare 🌈,Crafts,Jun 5 2019,Aug 4 2019,60,"Hull, UK",£,161,150,17
5179,"David Walsh, bowlmaker, Fine Wooden Bowls, Ltd. Edition #14",Crafts,Feb 14 2015,Feb 24 2015,10,"York, PA",$,3124,250,40
5180,"David Walsh, Bowlmaker, Fine Wooden Bowls, Ltd. Edition #24",Woodworking,Jul 16 2016,Jul 25 2016,9,"York, PA",$,3645,250,38
5181,"David Walsh, bowlmaker Kickstarter Limited Edition #5",Crafts,Jan 16 2014,Jan 31 2014,15,"York, PA",$,3834,250,40
5182,Christmas Rush!! Watch your mouth ! Drop an F Bomb!,Crafts,Sep 23 2019,Oct 8 2019,15,"Halifax, Canada",CA$,178,100,7
5183,MAKA MÉXICO // WITH ARTISAN SOUL,Embroidery,Jun 28 2017,Jul 28 2017,30,"Mexico City, Mexico",MX$,321020,150000,212
5184,"Owl, Chinchilla and Chick Art Dolls",Crafts,Sep 12 2013,Oct 12 2013,30,"Oxford, AL",$,301,300,7
5185,Spooky the Fox Plush Toy,Crafts,Dec 6 2018,Jan 5 2019,30,"Huntington, WV",$,5156,3000,129
5186,Growing Abrekke Boutique,Crafts,Jul 29 2019,Sep 27 2019,60,"Chicago, IL",$,3311,2750,10
5187,First Frost Art Yarn,Crafts,Nov 28 2012,Dec 31 2012,32,"Boulder, CO",$,380,300,14
5188,Nerdy Candles: For Nerds,Candles,Jul 8 2013,Aug 7 2013,30,"Minneapolis, MN",$,5154,5000,141
5189,"PLOK toys, everlasting fun.",Crafts,Nov 27 2018,Dec 27 2018,30,"Amsterdam, Netherlands",€,4116,4000,63
5190,The Alternative Bridal Expo & Alternative Fun Expo,Crafts,Jul 22 2010,Aug 21 2010,29,,$,4015,4000,29
5191,♥ Buttonwood Bunnies ♥ handknitted toy buddies,Knitting,Aug 13 2014,Sep 12 2014,30,"Innerleithen, UK",£,1719,800,36
5192,Make Hossle Woodworks Work! Mid-Century Inspired Furniture.,Woodworking,Sep 12 2018,Oct 12 2018,30,"Minneapolis, MN",$,8006,8000,68
5193,Last PBJ-1J Mitchell Bomber Restoration - Start Donating Now,Crafts,Nov 3 2015,Dec 1 2015,27,"Camarillo, CA",$,2962,2000,34
5194,Festive Christmas Cards & Letter to Santa ideal for children,Stationery,Oct 29 2018,Nov 12 2018,14,"Warwickshire, UK",£,361,350,33
5195,Flan Man: The Plush Pillow!,Crafts,Nov 19 2016,Dec 19 2016,30,"Berkeley, CA",$,895,750,15
5196,Chutes_alors créations textile.,Crafts,Jan 20 2020,Mar 5 2020,45,"France, France",€,504,500,19
5197,INSTAPRINT- D.I.Y PRINTABLE DIORAMAS -ACBA COMMUNITY PROJECT,Crafts,Aug 22 2018,Sep 29 2018,38,"Edinburgh, UK",£,1565,1000,153
5198,Catnip Wine & Cheese Toys + Olives & Figs | Cat Toys,Crafts,Sep 18 2017,Oct 18 2017,30,"Wheaton, IL",$,8330,8000,132
5199,"David Walsh, Bowlmaker: Projects of Earth- Fine Wooden Bowls",Woodworking,Aug 27 2017,Sep 7 2017,11,"York, PA",$,6098,250,56
5200,"David Walsh, bowlmaker Kickstarter Limited Edition #5",Crafts,Jan 16 2014,Jan 31 2014,15,"York, PA",$,3834,250,40
5201,"David Walsh, bowlmaker, Fine Wooden Bowls, Ltd. Edition #14",Crafts,Feb 14 2015,Feb 24 2015,10,"York, PA",$,3124,250,40
5202,"David Walsh, Bowlmaker, Fine Wooden Bowls, Ltd. Edition #24",Woodworking,Jul 16 2016,Jul 25 2016,9,"York, PA",$,3645,250,38
5203,MAKA MÉXICO // WITH ARTISAN SOUL,Embroidery,Jun 28 2017,Jul 28 2017,30,"Mexico City, Mexico",MX$,321020,150000,212
5204,NIX+BOW: The Little Candle That Could,Candles,Mar 1 2014,Mar 31 2014,30,"San Francisco, CA",$,8087,6377,139
5205,Maceta Colmena / Colmena Plant Pot,Pottery,Jul 9 2019,Aug 2 2019,23,"Mexico City, Mexico",MX$,58130,50000,53
5206,Recycled Socks Made on an Antique Auto-Knitting Machine,Crafts,Oct 4 2011,Nov 3 2011,30,"Seattle, WA",$,1630,1500,34
5207,Cambodia Knits: Crocheting for Good!,Crafts,Oct 12 2013,Nov 11 2013,30,"Phnom Penh, Cambodia",CA$,5409,3000,123
5208,Healing Springs Gifts: Natural products. Empowering women.,Crafts,Sep 7 2018,Sep 30 2018,23,"Cleveland, TN",$,8777,8500,49
5209,· Guenda · products for connecting with nature and people,Embroidery,Nov 25 2017,Dec 25 2017,30,"Puebla, Mexico",MX$,60520,60000,84
5210,MERRIMACK CANOES: Preserving a Canoe Heritage,Woodworking,May 16 2016,Jun 30 2016,45,"Winona, MN",$,54345,40000,91
5211,Soma Puzzle Boxes,Crafts,Jun 19 2012,Aug 3 2012,45,"Raleigh, NC",$,872,150,41
5212,Snow Peak Brewing Company Start Up,Crafts,Aug 13 2017,Sep 27 2017,45,"Stayton, OR",$,27515,25000,80
5213,Cute Stickers: Make This New Season Sticker Special!,Stationery,Aug 5 2016,Sep 4 2016,30,"Sydney, AU",AU$,262,200,9
5214,Greeting Cards & Pen Pals - Projects of Earth,Stationery,Aug 26 2017,Sep 23 2017,28,"Omaha, NE",$,758,750,19
5215,"Free Dandelions for BRATS, AF, ARMY, MARINE, NAVY, CG",Printing,Apr 2 2015,May 2 2015,30,"Wichita Falls, TX",$,806,750,36
5216,Print-Products / Handgemachte Papierprodukte (Illustrations),Printing,Apr 16 2016,May 15 2016,29,"Basel, Switzerland",CHF,3351,3300,33
5217,WILD BUS: Kids' mobile sustainability education classroom,DIY,Mar 14 2019,Apr 1 2019,17,"Portland, OR",$,12104,12000,62
5218,"Wood shop, woodworking mixing viking & pagan traditions",Woodworking,Oct 17 2015,Nov 26 2015,40,"Marshall, CA",$,3640,3000,37
5219,Crescents: Moon Inspired Shawls,Knitting,Jul 20 2019,Aug 19 2019,30,"Milwaukie, OR",$,934,800,27
5220,"MAKE100: Grit & Diamonds Coffee, Salt Body Scrub 100%natural",Crafts,Jan 31 2017,Mar 6 2017,34,"Vancouver, Canada",CA$,3563,3000,61
5221,KUL Trains by KUL TOYS,Crafts,Sep 7 2018,Oct 1 2018,23,"San Clemente, CA",$,10600,10000,23
5222,The Candle Commission Presents: The Black Star Collection,Candles,Feb 1 2020,Mar 1 2020,29,"Atlanta, GA",$,506,500,8
5223,Elwood Pens - Orginal Set,Woodworking,Jun 6 2017,Aug 5 2017,60,"New Glasgow, Canada",CA$,3190,2500,14
5224,"Fine Wooden Pens made by hand, one at a time.",Woodworking,Mar 30 2015,Apr 20 2015,21,"Rochester, NY",$,18308,1500,189
5225,· Guenda · products for connecting with nature and people,Embroidery,Nov 25 2017,Dec 25 2017,30,"Puebla, Mexico",MX$,60520,60000,84
5226,Healing Springs Gifts: Natural products. Empowering women.,Crafts,Sep 7 2018,Sep 30 2018,23,"Cleveland, TN",$,8777,8500,49
5227,Last PBJ-1J Mitchell Bomber Restoration - Start Donating Now,Crafts,Nov 3 2015,Dec 1 2015,27,"Camarillo, CA",$,2962,2000,34
5228,Festive Christmas Cards & Letter to Santa ideal for children,Stationery,Oct 29 2018,Nov 12 2018,14,"Warwickshire, UK",£,361,350,33
5229,She is the last of her kind,Crafts,Nov 9 2018,Dec 9 2018,30,"Toronto, Canada",CA$,402,350,21
5230,Carolina Monthly,Crafts,Aug 23 2015,Sep 13 2015,21,"Madison, NC",$,5003,5000,31
5231,Serenity Over Stress - SOS Soap Company,Crafts,Mar 21 2017,Apr 20 2017,30,"Las Vegas, NV",$,278,200,6
5232,Sugar Tits Sugar Scrubs,DIY,Apr 14 2017,May 14 2017,30,"Fort Worth, TX",$,858,800,8
5233,CAREOLOGY SKINCARE: Sustainable Skincare for Sensitive Skin,Crafts,Sep 26 2016,Oct 26 2016,30,"St. Paul, MN",$,8617,7000,71
5234,Shelter Pets: Plush Toys Based on Real Adopted Pets,Crafts,Sep 19 2017,Oct 19 2017,30,"Chicago, IL",$,17828,15000,186
5235,Inca Bag- following a 2000 year-old weaving tradition.,Weaving,Jul 7 2014,Aug 6 2014,30,"Quito, Ecuador",CA$,4212,800,78
5236,Your Very Own Opossum (Plush),Crafts,Mar 11 2019,Apr 10 2019,30,"Boston, MA",$,34559,25000,856
5237,Star Wars: Death Claw Studios (Cosplay & Props),DIY,May 4 2015,Jun 8 2015,35,"San Antonio, TX",$.,5000,50,4
5238,HOMUNCULUS hard enamel pin set,Crafts,Jul 8 2019,Jul 21 2019,13,"Rome, Italy",€,1617,350,56
5239,Guns & Bullets Writing Pens by WoodNotch,Woodworking,Jul 23 2016,Aug 3 2016,11,"Tucson, AZ",$,1734,500,13
5240,Scalpel Jones 2 an Updated Titanium EDC Scalpel Made in USA,DIY,Sep 29 2017,Oct 24 2017,25,"Hopatcong, NJ",$,13234,1500,89
5241,Cafe Cute Enamel Pins,Crafts,Feb 17 2017,Mar 14 2017,24,"Sacramento, CA",$,3844,600,153
5242,Screen Printing - DIY T-shirt Press & Hat Platen Build Plans,DIY,Jan 11 2015,Feb 10 2015,30,"Woodbury, CT",$,2606,2500,142
5243,Historic 50 Caliber Pen,Woodworking,Apr 14 2016,Apr 21 2016,7,"Huntington, NY",$,711,250,22
5244,Royal Needle Collection,DIY,Nov 28 2018,Jan 27 2019,60,"Osnabruck, Germany",€,11768,7500,69
5245,Self-Made Hobbit hole,DIY,Apr 15 2015,May 15 2015,30,"Helsingor, Denmark",DKK,1105,1000,9
5246,LargeLARP Secrets and Songs: Custom wood & leather LARP kit,Crafts,Apr 4 2016,Apr 30 2016,26,"Derby, UK",£,1633,500,47
5247,You Can Stitch It,Embroidery,Jun 27 2019,Jul 27 2019,30,"Plano, TX",$,2943,2500,42
5248,MagWood 2.0 - The Original Magnetic Hooks,Woodworking,Feb 13 2019,Mar 15 2019,30,"State College, PA",$,865,500,22
5249,Watch Your Mouth ... Throw Some F Bombs,Crochet,Jan 28 2020,Feb 12 2020,15,"Halifax, Canada",CA$,1276,100,25
5250,Purrista Pawfee 2: Cute Coffee Shop Cat Plush,Crafts,Sep 20 2016,Oct 21 2016,30,"Davis, CA",$,16151,8500,281
5251,Wing: Leather EDC holster,Crafts,Jul 8 2019,Aug 7 2019,30,"London, UK",£,562,400,14
5252,[Official] Sugarcubs Official Goods,Stationery,Aug 29 2018,Oct 8 2018,40,"Tokyo, Japan",¥,4311619,3000000,506
5253,"Unibräu - The worlds best all in one, all grain brew system.",DIY,Oct 18 2017,Nov 1 2017,13,"Vancouver, Canada",CA$,65214,6500,55
5254,Chainmaille Chess Set and Tutorial,Crafts,Oct 9 2018,Nov 8 2018,30,"Apeldoorn, Netherlands",€,2609,600,44
5255,Limited edition Black Hawk Mark 2 collection,Crafts,Oct 3 2018,Nov 2 2018,30,"Swindon, UK",£,5611,2500,26
5256,Your Very Own Opossum (Plush),Crafts,Mar 11 2019,Apr 10 2019,30,"Boston, MA",$,34559,25000,856
5257,Star Wars: Death Claw Studios (Cosplay & Props),DIY,May 4 2015,Jun 8 2015,35,"San Antonio, TX",$.,5000,50,4
5258,Shelter Pets: Plush Toys Based on Real Adopted Pets,Crafts,Sep 19 2017,Oct 19 2017,30,"Chicago, IL",$,17828,15000,186
5259,Screen Printing - DIY T-shirt Press & Hat Platen Build Plans,DIY,Jan 11 2015,Feb 10 2015,30,"Woodbury, CT",$,2606,2500,142
5260,Historic 50 Caliber Pen,Woodworking,Apr 14 2016,Apr 21 2016,7,"Huntington, NY",$,711,250,22
5261,Scalpel Jones 2 an Updated Titanium EDC Scalpel Made in USA,DIY,Sep 29 2017,Oct 24 2017,25,"Hopatcong, NJ",$,13234,1500,89
5262,Guns & Bullets Writing Pens by WoodNotch,Woodworking,Jul 23 2016,Aug 3 2016,11,"Tucson, AZ",$,1734,500,13
5263,HOMUNCULUS hard enamel pin set,Crafts,Jul 8 2019,Jul 21 2019,13,"Rome, Italy",€,1617,350,56
5264,Cafe Cute Enamel Pins,Crafts,Feb 17 2017,Mar 14 2017,24,"Sacramento, CA",$,3844,600,153
5265,You Can Stitch It,Embroidery,Jun 27 2019,Jul 27 2019,30,"Plano, TX",$,2943,2500,42
5266,Watch Your Mouth ... Throw Some F Bombs,Crochet,Jan 28 2020,Feb 12 2020,15,"Halifax, Canada",CA$,1276,100,25
5267,Royal Needle Collection,DIY,Nov 28 2018,Jan 27 2019,60,"Osnabruck, Germany",€,11768,7500,69
5268,Katty Candles and Jewelry Kitty Cat Candles,Candles,Dec 23 2019,Jan 22 2020,30,"Terre Haute, IN",$,555,500,16
5269,"Seawater Sweeties! Cute Sea Otter, Sea Turtle & Shark Plush",Crafts,Aug 13 2015,Sep 7 2015,25,"Mountain View, CA",$,28318,26000,451
5270,Hellmouth Inspired Pamper Box,Crafts,Feb 23 2020,Mar 18 2020,24,"Tulsa, OK",$,1467,1000,24
5271,Barnacle bowls: Take me to the fair (s)!,Crafts,Nov 1 2019,Dec 1 2019,30,"Wales, UK",£,2120,2000,94
5272,Make 100 - Birdhouse Christmas Ornaments,Woodworking,Jan 5 2020,Feb 4 2020,30,"Palm Coast, FL",$,1830,1000,29
5273,Hand Crafted Winter Hats and Christmas Bundles,Crochet,Oct 25 2018,Nov 24 2018,30,"Northumberland, UK",£,1102,1000,36
5274,"Tortillero - ""... pásame otra tortilla""",Pottery,Jul 9 2018,Aug 3 2018,24,"Mexico City, Mexico",MX$,40081,28900,44
5275,I want to buy a van for the Chubby Star Shoppe Mobile Store,Crochet,Aug 27 2014,Sep 26 2014,30,"Ottawa, Canada",CA$,5210,5000,34
5276,Sarah Lamb's Knitted Valentine Hearts,Knitting,Oct 31 2014,Nov 30 2014,30,"Tallahassee, FL",$,1010,250,62
5277,Gypsy Fortune Telling Cards,Printing,Aug 21 2014,Sep 20 2014,30,"Wichita, KS",$,580,450,29
5278,Coin Rings - History at your fingertips,Crafts,Sep 2 2015,Oct 2 2015,30,"Bakersfield, CA",$,13138,500,231
5279,Online Crochet Journey Program to Empower Women,Crochet,Jun 16 2015,Jul 3 2015,16,"Fairfield, IA",$,2000,2000,15
5280,Mustache & Monster Mugs,Pottery,Nov 29 2011,Dec 30 2011,31,"Minneapolis, MN",$,4993,4250,102
5281,Quarter Rings: A beautiful transformation of common currency,Crafts,Feb 18 2014,Mar 20 2014,30,"Matthews, NC",$,5465,150,146
5282,Nod | Real-life messaging,Printing,Nov 11 2015,Nov 29 2015,18,"London, UK",£,1518,1270,101
5283,"Wonderful 3D Popup Christmas Cards: Small, Yet Meaningful",Printing,Oct 15 2015,Nov 8 2015,23,"Copenhagen, Denmark",€,10231,2500,267
5284,PAPER POTMAKER MAKE BIODEGRADABLE POTS TO GROW SEEDS!,Woodworking,Mar 3 2015,Mar 23 2015,20,"Kirksville, MO",$,646,250,30
5285,Washi Tape by Melan,Stationery,Nov 21 2019,Dec 11 2019,20,"San Gabriel, CA",$,2877,1500,117
5286,Easy grip dip pen /Calligraphy pen /straight dip pen holder,Stationery,Jan 17 2017,Feb 16 2017,30,"Burnley, UK",£,1308,700,38
5287,Discworld Monthly Custom Mug Drive,Printing,Nov 12 2015,Dec 12 2015,30,"Swansea City and County, UK",£,1625,1000,67
5288,22&33's new stationery line,Stationery,Apr 28 2011,May 28 2011,30,"Jersey City, NJ",$,526,500,19
5289,A Thousand Cranes To Happiness,Stationery,Jul 30 2016,Aug 29 2016,30,"Strabane, UK",£,152,25,44
5290,The Green Conspiracy - Grow food with confidence,Stationery,Feb 5 2019,Mar 8 2019,31,"Berlin, Germany",€,10649,10000,332
5291,'Colour With Me' Colouring in book,Stationery,Jun 8 2020,Jul 2 2020,24,"Fife, UK",£,568,200,39
5292,Arcturus Wands,Crafts,Feb 9 2020,Mar 10 2020,30,"Oxford, UK",£,597,200,16
5293,22&33's new stationery line,Stationery,Apr 28 2011,May 28 2011,30,"Jersey City, NJ",$,526,500,19
5294,Discworld Monthly Custom Mug Drive,Printing,Nov 12 2015,Dec 12 2015,30,"Swansea City and County, UK",£,1625,1000,67
5295,Pines n Prints Weekly Planner,Stationery,Dec 10 2019,Dec 25 2019,15,"Singapore, Singapore",S$,3032,3000,34
5296,The Man Medals...smile.,Crafts,Mar 21 2013,Apr 20 2013,30,"Detroit, MI",$,1050,1000,16
5297,"Duct and Cover: Wallets, Bags, Bow Ties and more!!!",Crafts,Aug 11 2013,Sep 11 2013,31,"Highland, CA",$,500,500,9
5298,The Cass Textiles at New Designers 2013,Crafts,Apr 29 2013,May 30 2013,31,"London, UK",£,873,500,55
5299,The Waste Oil Kiln Project,Crafts,Mar 17 2014,Apr 16 2014,30,"Abilene, TX",$,4260,2500,61
5300,Serenity Rings: Custom Chainmaille Accessories,Weaving,May 17 2013,Jun 16 2013,30,"Duluth, MN",$,2331,500,72
5301,2013 Skeleton Sock Monkey Project,Crafts,May 30 2013,Jun 29 2013,30,"San Diego, CA",$,1715,300,52
5302,Pinata Blocks,Crafts,Dec 23 2013,Jan 22 2014,30,"East Dallas, Dallas, TX",$.,100,1,1
5303,T.E.R.A Plastic Mitigation Project,Crafts,Sep 19 2012,Oct 9 2012,20,"Whitmire, SC",$,735,500,31
5304,Naughty or Nice? Everyone gets a 2nd Chance...,Crafts,Dec 7 2012,Dec 24 2012,16,"Swarthmore, PA",$,120,120,6
5305,Tonya's Cute by Design- Our Own Yarn Line,Crafts,Nov 13 2013,Dec 13 2013,29,"Ralston, Omaha, NE",$,1270,500,37
5306,Valentine's One Day Special: Give and Grow Together!,Crafts,Feb 10 2014,Feb 12 2014,1,"Los Angeles, CA",$,432,400,12
5307,The Wool Dispensary Goes to YarnCon,Crafts,Jun 24 2011,Aug 10 2011,46,"Chicago, IL",$,3300,2500,84
5308,Handmade Recipe Book,Crafts,May 24 2012,Jun 23 2012,30,"Simpsonville, SC",$,556,450,15
5309,"From my Hands to Yours, Cups and Mugs",Crafts,Nov 13 2012,Dec 13 2012,30,"Haworth, OK",$,275,200,10
5310,Yuzen - Origami Paper Pins,Crafts,Mar 14 2014,Apr 14 2014,30,"Boston, MA",$,906,35,38
5311,Puggernauts Pooch Paraphernalia Blastoff,Crafts,Jul 8 2014,Aug 7 2014,30,"Houston, TX",$,2211,2000,29
5312,A Splendid Day Out - Artisan Market - 18th October 2014,Crafts,Aug 26 2014,Sep 25 2014,30,"Morecambe, UK",£,540,500,36
5313,Bring an Independent Yarn Shop to Small-Town Idaho!,Crafts,Aug 16 2010,Sep 15 2010,30,"Moscow, ID",$,2170,2000,38
5314,50 Mirrors/50 Boxes,Woodworking,Aug 6 2013,Sep 5 2013,30,"Greensburg, PA",$,5092,5000,57
5315,"Weeping Angel Prosthetic Molds-Face, Hair, Dress",Crafts,Aug 15 2013,Oct 14 2013,59,"San Diego, CA",$,370,200,11
5316,¡Sugar Skulls!,Crafts,Sep 11 2013,Oct 10 2013,29,"Kent, OH",$,700,250,35
5317,Coast to Coast Craft,Crafts,Oct 16 2013,Nov 18 2013,33,"Charlotte, NC",$,3129,3000,79
5318,Lambsanity!!!,Crafts,Nov 5 2013,Nov 15 2013,10,"Tulsa, OK",$,545,200,25
5319,Design Your Own Duct tape Messenger bag,Crafts,Aug 19 2014,Sep 18 2014,30,"Brooklyn, NY",$,7700,7700,76
5320,Fat Lips Lip Balm,Crafts,Oct 22 2014,Nov 21 2014,30,"Ithaca, NY",$,910,500,37
5321,Get my Brain on Cane,Glass,Aug 5 2014,Aug 12 2014,7,"Stanwood, WA",£,1144,1100,23
5322,Eleonora of Toledo Buttons,Crafts,Aug 20 2015,Sep 3 2015,14,"Carrollton, GA",$,4449,550,78
5323,Sustainable Handmade Cards Benefiting Aids Orphans,Stationery,Jan 26 2016,Feb 25 2016,30,"San Diego, CA",$,258,250,5
5324,Nonesuch Garden Safari Acrylic Charm Set,Crafts,Oct 5 2011,Oct 26 2011,21,"Brattleboro, VT",$,480,200,28
5325,Spartickes Dyes,Crafts,Nov 28 2012,Dec 11 2012,13,"Nashville, TN",$,1347,1200,29
5326,MarthaToMary - first stage,Knitting,Jun 10 2015,Jul 10 2015,30,"Sydney, AU",AU$,488,400,9
5327,Katy's Krafts,Crochet,Feb 14 2015,Apr 15 2015,60,"Phoenix, NY",$.,1600,10,4
5328,Made In France,Crafts,Jun 2 2015,Jun 22 2015,20,"Argentré, France",€,600,600,11
5329,Look At The Wood (and hopefully buy it),Woodworking,Oct 4 2015,Nov 3 2015,30,"Clearwater, FL",$,547,500,15
5330,A Father and Son Project: Passing the Reins of a Lost Art,Crafts,Mar 19 2014,Apr 18 2014,30,"Kingsville, TX",$,1081,1000,10
5331,Evolution of a Woodturner,Crafts,May 6 2014,Jun 5 2014,30,"Tucson, AZ",$,1590,500,27
5332,"Natural face, feet, and body scrubs",Crafts,Dec 18 2015,Jan 17 2016,30,"Bellingham, WA",$,120,120,1
5333,Kamala Tapes Limited Edition | Button Press Maker complete!,DIY,Mar 22 2016,Apr 21 2016,30,"San Diego, CA",$,505,500,15
5334,"The ""Jack"" Pot!",Crafts,Mar 5 2013,Apr 10 2013,35,"Bluffton, OH",$,3727,3500,31
5335,The Australian Collection,Crafts,Feb 21 2013,Mar 18 2013,25,"Tremonton, UT",$,6485,1500,81
5336,Garbage Sketchbooks,Crafts,Oct 16 2014,Nov 8 2014,23,"Chicago, IL",$,275,100,18
5337,Northwoods Coasters: Don't-cha-know!,Woodworking,Jan 18 2015,Feb 22 2015,35,"Rhinelander, WI",$,1556,1,53
5338,Franken socks,Crafts,Jan 12 2015,Feb 11 2015,30,"Oklahoma City, OK",$,186,150,3
5339,Great Northern: knitting pattern book inspired by Twin Peaks,Knitting,Sep 9 2015,Oct 10 2015,30,"Chicago, IL",$,14339,13500,303
5340,Whipps LAVISH,Crafts,Jul 14 2015,Aug 13 2015,30,"Temple Hills, MD",$,1000,1000,1
5341,Riblet's Dribbles (flannel bibs for kids),DIY,Jul 14 2015,Aug 13 2015,30,"Onalaska, WI",$,525,500,13
5342,Mexico creates - Painted stones for the Day of the Dead,Crafts,Oct 24 2017,Nov 17 2017,24,"Mexico City, Mexico",MX$,5220,2500,15
5343,McEvoy Textiles - Bringing Weaving back to Glasgow.,Weaving,Apr 26 2018,May 26 2018,30,"Glasgow, UK",£,5222,5000,58
5344,FFXV Pins,Crafts,Apr 15 2018,May 15 2018,30,"London, UK",£,231,200,15
5345,One Veda: Mission to One Million,Crafts,May 1 2015,May 31 2015,30,"Gloucester, MA",$,10293,10000,114
5346,Handmade To The Streets,Crafts,Mar 9 2015,Apr 8 2015,30,"Portland, OR",$,5034,4800,91
5347,Handsome Yeti Beard Care,Crafts,May 6 2015,Jun 5 2015,30,"Leyland, UK",£,695,500,22
5348,Sweet P's Artisan Soap Co,Crafts,Jan 4 2018,Feb 18 2018,45,"Harrisburg, PA",$,358,200,4
5349,Mandarin Duck Texture Stamps | 2nd Collection,DIY,May 8 2016,Jun 7 2016,30,"London, UK",£,10645,8000,248
5350,Monster Mayhem Hand Dyed Bulky Yarn,Crafts,Jun 3 2016,Jul 3 2016,30,"Sandpoint, ID",$,1105,500,16
5351,Isola Body Scrubs,Crafts,Jun 15 2016,Jul 15 2016,30,"Chicago, IL",$,150,150,3
5352,Certified Badass,Crafts,Sep 12 2016,Oct 12 2016,30,"Olathe, KS",$,133,20,29
5353,Preorders for really awesome MistyFigs crafts!,Crafts,May 9 2016,Jun 23 2016,45,"Portland, OR",$,2308,2200,50
5354,Poop Heart,Crafts,Jun 13 2016,Jul 12 2016,28,"Calgary, Canada",CA$,8137,5000,137
5355,KeyKube and Kuboid - Magnetic Hooks,Woodworking,Aug 29 2016,Sep 28 2016,30,"Fredericksburg, VA",$,3187,2000,43
5356,Ship's Manor Hand-Dyed Fabrics,Crafts,Sep 23 2016,Oct 23 2016,30,"Ogden, UT",$,1857,700,31
